Disclaimer : Partial study of the solutions that were above 11.3 in the 20210707-125553-env-65-6537855_pop-25600-200_gen-4.json dictionary.
Stopped after a couple hours of running with less than a thousand evaluations of the solutions, from which at least 69 were scoring 11.32.
According to the dictionary, there might be more than 7000 solutions that could score that, if tested.
It might take a bit less than a couple days to run the whole thing, it might not be necessary.

20210708-112302245.out, 11.307738000002754
20210708-112312879.out, 11.319834000002786
20210708-112324879.out, 11.314224000002778
20210708-112335879.out, 11.314390000002776
20210708-112345879.out, 11.318979000002782
20210708-112355879.out, 11.318813000002782
20210708-112406879.out, 11.307572000002754
20210708-112418879.out, 11.320000000002786
20210708-112430879.out, 11.314390000002776
20210708-112439879.out, 11.319834000002786
20210708-112450879.out, 11.319382000002786
20210708-112500879.out, 11.307738000002754
20210708-112510879.out, 11.314262000002776
20210708-112520879.out, 11.29411000000275
20210708-112530879.out, 11.308953000002754
20210708-112541879.out, 11.307738000002754
20210708-112551879.out, 11.31779800000278
20210708-112601879.out, 11.320000000002786
20210708-112611879.out, 11.307738000002754
20210708-112621879.out, 11.307572000002754
20210708-112632879.out, 11.318979000002782
20210708-112646879.out, 11.312236000002763
20210708-112658879.out, 11.306190000002738
20210708-112712879.out, 11.319230000002785
20210708-112724879.out, 11.318979000002782
20210708-112736879.out, 11.320000000002786
20210708-112746879.out, 11.307572000002754
20210708-112756879.out, 11.314390000002776
20210708-112806879.out, 11.319548000002785
20210708-112817879.out, 11.292100000002712
20210708-112828879.out, 11.306825000002753
20210708-112838879.out, 11.31489300000277
20210708-112848879.out, 11.31247200000277
20210708-112858879.out, 11.307738000002754
20210708-112908879.out, 11.319721000002787
20210708-112919879.out, 11.319834000002786
20210708-112929879.out, 11.318813000002782
20210708-112939879.out, 11.30211300000277
20210708-112950879.out, 11.319834000002786
20210708-113002879.out, 11.316037000002774
20210708-113013879.out, 11.306454000002738
20210708-113025879.out, 11.320000000002786
20210708-113036879.out, 11.318979000002782
20210708-113045879.out, 11.318813000002782
20210708-113056879.out, 11.319155000002786
20210708-113107879.out, 11.320000000002786
20210708-113117879.out, 11.307483000002755
20210708-113127879.out, 11.314390000002776
20210708-113138879.out, 11.314262000002776
20210708-113149879.out, 11.307738000002754
20210708-113200879.out, 11.307738000002754
20210708-113211879.out, 11.307483000002755
20210708-113222879.out, 11.307610000002754
20210708-113234879.out, 11.319258000002783
20210708-113244879.out, 11.306190000002738
20210708-113254879.out, 11.286333000002667
20210708-113305879.out, 11.29903600000274
20210708-113317879.out, 11.319548000002785
20210708-113327879.out, 11.30455200000274
20210708-113337879.out, 11.306103000002746
20210708-113348879.out, 11.320000000002786
20210708-113358879.out, 11.319544000002784
20210708-113408879.out, 11.320000000002786
20210708-113419879.out, 11.306479000002751
20210708-113429879.out, 11.319548000002785
20210708-113440879.out, 11.315781000002772
20210708-113450879.out, 11.318979000002782
20210708-113501879.out, 11.319420000002784
20210708-113511879.out, 11.320000000002786
20210708-113522879.out, 11.317355000002781
20210708-113532879.out, 11.313997000002777
20210708-113543879.out, 11.31263800000277
20210708-113553879.out, 11.31838200000278
20210708-113603879.out, 11.319607000002787
20210708-113613879.out, 11.307593000002754
20210708-113623879.out, 11.306991000002753
20210708-113633879.out, 11.319855000002784
20210708-113642879.out, 11.287872000002642
